Year,Africa,Asia,Europe,North_America,Oceania,South_America,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia_and_Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina_Faso,Burma,Burundi,Cabo_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Comoros,Congo_Democratic_Republic,Congo_Republic,Costa_Rica,Cote_d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Czechoslovakia_former,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong_Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,North_Korea,South_Korea,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall_Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,Netherlands_Antilles_former,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,Samoa,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Serbia_and_Montenegro_former,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Sudan,Soviet_Union_former,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_States,Uruguay,Uzbekistan,Venezuela,Vietnam,Virgin_Islands,Yemen,Zambia,Zimbabwe
2011,100374,451593,83850,333902,4980,86096,1648,3612,1364,148,25,368,4473,2983,39,2343,424,728,668,119,16707,455,1964,567,905,462,71,10137,2173,878,76,11763,25,2661,433,16518,593,1808,2745,4754,12800,41,134,171,1853,87016,22635,8,2424,1371,2135,1302,349,36452,0,101,303,466,459,56,287,46109,11103,7778,18667,13,2102,191,19,13793,1041,363,3653,21,204,972,1490,6125,8798,949,579,11092,1555,29,6599,22111,6133,2306,1044,90,69013,2856,14822,21133,1371,3826,2443,19662,6161,3876,1235,7762,36,22824,670,973,542,956,426,3295,25,4151,357,936,24,130,83,123,2273,3,629,51,38,393,101,143446,9,2258,6,774,204,30,4399,60,43,10166,1085,86,803,3401,96,11824,1078,339,60,15546,7,1374,20,500,14064,57011,6863,821,193,3882,7944,520,350,785,468,267,9,1396,1424,244,1398,15,1985,690,0,594,69,4451,2649,0,3687,1890,2053,2628,196,979,615,2785,6154,382,1427,9962,1506,408,5023,440,4403,260,33,1239,8292,707,11572,269,1553,5056,9183,34157,37,3361,652,1016
2012,107241,429599,81671,327771,4742,79401,1617,3364,1369,187,23,337,4359,2681,54,2414,407,663,619,104,14705,460,1659,574,847,415,85,10198,1948,815,80,11441,19,2440,558,17383,535,1684,2473,3815,12932,44,116,155,1673,81784,20931,10,3731,1461,2020,1760,336,32820,0,107,677,159,459,106,125,41566,9342,8988,16256,20,2643,227,24,14544,853,348,3862,30,197,1159,1341,5812,10592,1054,671,10341,1656,47,5683,22818,6884,2104,1054,103,66434,2603,12916,20369,1514,4153,2673,20705,6061,4099,1202,7043,49,20846,782,1044,648,949,436,2879,17,4109,315,924,19,120,79,192,2605,3,734,62,50,410,77,146406,13,2021,5,691,265,27,3656,94,59,11312,1091,106,814,3046,48,13575,906,276,74,14740,10,1281,21,467,12609,57327,6300,811,141,3748,9969,592,311,919,503,238,12,1343,1615,704,801,7,1688,712,0,528,86,5204,2781,17,1296,1842,1994,2471,187,968,635,3014,5331,411,1516,9459,1756,276,5214,422,4162,223,30,1340,7642,854,12014,279,1374,4726,9387,28304,39,2620,643,914
2013,98304,400548,86556,315660,5277,80945,2196,3186,1241,143,22,344,4372,2722,45,2759,415,637,630,115,12099,428,1970,675,946,342,88,8954,2071,697,53,11033,21,2844,585,12565,260,1673,2624,3908,13181,44,213,111,1736,71798,21131,3,2792,1059,2114,1486,353,32219,0,126,676,74,506,90,244,41311,10591,10294,18260,18,2138,211,15,13097,895,331,4425,0,127,1018,1368,6032,10265,1361,687,10224,1518,43,5897,20351,8898,2226,1052,139,68458,2731,12863,9552,1626,3996,2960,19400,5925,4188,1241,6123,48,23166,839,937,652,923,424,2783,20,3334,376,854,40,106,95,159,2477,5,667,43,46,354,83,135028,4,2485,8,729,265,0,3336,73,57,13046,1142,128,921,3048,37,13840,895,335,73,13251,16,1234,27,448,12564,54446,6430,918,191,3773,9753,540,259,853,529,237,6,1463,1340,866,653,6,1651,835,0,507,62,3764,2629,59,1264,2480,1847,1945,178,1106,697,3366,5385,550,837,7583,1257,348,4724,445,4144,210,50,1350,8193,910,12984,319,1352,4382,9572,27101,45,3532,505,924
2014,98413,430508,83266,324354,5112,73715,10527,3828,1669,148,20,369,3874,2913,40,2809,438,672,654,122,14645,384,2015,632,789,517,106,7298,1719,693,58,10429,25,2981,583,11144,273,1154,2536,3943,11586,48,155,119,1581,76089,18175,9,4347,552,1966,1477,297,46679,27,129,606,74,514,190,345,44577,10960,11477,19273,15,2002,220,23,12300,802,350,4284,24,167,1111,1240,5584,7115,1235,633,10238,1375,30,6267,15274,8156,2278,996,86,77908,2139,11615,19153,1605,3805,3298,19026,5545,5187,1221,5884,142,20423,758,1057,707,806,384,3245,13,3874,524,747,26,105,86,172,2622,13,604,39,56,320,81,134052,5,2341,8,651,289,38,3605,71,44,12357,1195,45,796,2886,71,12828,960,271,90,18612,12,1095,18,391,10606,49996,5689,892,202,3246,9079,555,263,844,448,239,5,1696,1273,1143,267,7,1740,779,45,460,78,5190,2676,74,1136,2928,1767,2442,158,954,656,3540,4697,516,774,6197,1612,320,3988,429,3834,254,40,1409,7752,1039,12225,358,1128,5194,8427,30283,56,3492,441,797
2015,101415,419297,85803,366126,5404,72309,8328,4653,1775,154,22,290,3730,2962,38,3034,474,676,725,145,13570,376,1994,662,772,466,112,6325,1626,859,61,11424,21,2688,575,12808,351,1253,1868,4374,12673,53,234,175,1596,74558,17316,5,5345,496,2029,1497,348,54396,22,113,637,58,609,370,229,50610,10187,12085,19487,25,2220,189,19,11394,875,407,4693,14,146,1142,1410,5436,6186,1211,525,11773,1389,39,5543,16967,9274,2085,1095,104,64116,2084,13114,21107,1607,3965,3544,17642,5395,4664,1201,5602,55,17138,814,1055,790,917,480,2813,23,3795,734,750,27,99,72,160,2749,8,587,58,32,298,96,158619,6,2496,10,644,251,14,3710,107,86,12926,1309,22,855,3324,55,11542,1060,310,85,18057,15,1052,11,382,10148,56478,5275,857,229,3376,8799,732,222,739,415,207,6,1744,1244,1278,232,11,1599,781,45,424,107,6796,2907,127,1022,3303,1763,3580,134,1066,640,3840,4888,595,799,7502,1547,327,3212,518,4201,226,38,1664,7987,1193,12592,370,1078,3977,9144,30832,38,3194,460,779
2016,113426,462299,93567,427293,5588,79608,12513,5773,2180,198,20,324,4091,3543,23,3239,432,784,656,138,18723,371,2127,691,851,577,99,4217,1595,971,78,13812,31,2670,642,13065,415,2242,3173,4899,12793,55,202,136,1698,81772,18610,4,6791,625,2224,1617,388,66516,35,131,650,62,521,281,298,61161,10757,12045,23449,18,2267,211,20,13232,866,489,5159,27,165,1247,1635,5306,6949,1451,585,13002,1501,37,5771,23584,13302,2510,1048,97,64687,2129,13298,18904,1759,4142,4078,23350,5207,5269,1310,6274,47,21801,1020,1186,847,856,391,2971,19,3619,642,735,34,109,88,205,3382,11,598,65,32,317,110,174534,11,2929,11,750,387,14,4586,101,87,12851,1319,18,846,3486,119,14380,1262,362,116,19313,14,1029,23,434,10940,53287,5603,1006,272,3554,9297,1357,250,777,422,219,12,2117,1533,1351,202,16,1535,812,42,483,119,6958,3023,124,1042,3519,1913,3159,156,1144,743,4800,5120,593,788,7039,1938,283,3469,518,4469,235,39,1649,10422,1370,12673,468,972,4359,10772,41451,40,13040,487,815
2017,118824,424743,84335,413650,5071,79076,19538,5722,2139,209,23,322,3482,3437,47,2906,387,881,725,130,14693,373,1919,625,746,648,68,2940,1510,846,112,14989,24,2184,541,12897,1094,2618,4056,4668,11484,67,178,205,1625,71565,17956,4,8709,632,2184,1810,375,65028,34,117,582,52,461,222,510,58520,10594,9834,25109,20,2449,176,19,14637,805,439,4782,20,150,1134,1629,4662,8455,1314,544,13198,1348,48,5468,21824,11387,2415,972,86,60394,1914,13791,14203,1485,3802,3655,21905,4635,5264,1377,6957,32,19194,1014,1177,715,685,359,2818,24,4155,780,645,33,109,60,228,4109,5,544,75,23,287,96,170581,6,2480,14,661,323,12,4229,96,130,11610,1056,9,798,3072,116,13539,1027,290,104,17408,13,889,18,391,10115,49147,4845,939,224,2953,8918,1394,238,777,361,194,10,2135,1470,1410,144,10,2058,818,35,388,108,7404,2912,160,939,3045,1627,3515,136,950,565,5877,4858,652,1415,6311,1572,262,3100,535,4844,251,35,1898,10135,1314,10948,409,1001,4095,11809,38231,25,6029,537,810
2018,115736,397187,80024,418991,4653,78869,12935,5049,2123,176,23,325,3080,3217,45,2693,401,1015,759,143,15717,318,1951,537,632,573,65,2350,1523,682,72,15394,29,1798,525,8182,762,1929,3187,4236,9898,47,304,251,1519,65214,17545,8,9941,580,2171,1375,286,76486,56,120,534,51,353,281,492,57413,11472,9826,28326,17,2428,151,18,12403,730,442,4276,10,112,1023,1643,4443,8394,1214,501,15638,1282,27,5165,21360,13794,2075,917,89,59821,1756,10116,14351,1401,3706,3329,20347,4317,5322,1378,7190,41,17676,886,1090,908,863,356,2581,12,3101,499,658,30,91,79,257,3051,4,488,58,23,212,67,161858,19,2206,13,636,299,20,3077,100,75,11953,998,7,719,3061,93,13952,1082,284,110,15802,7,897,27,389,9878,47258,4357,889,236,2448,8621,1620,250,696,333,179,9,2100,1420,1217,132,6,1527,801,27,370,95,7557,3010,185,1022,2841,1594,3658,182,889,570,14686,5079,893,3186,5556,1534,225,2758,517,5585,286,41,2412,11879,1379,9908,306,960,4612,11762,33834,37,1885,477,749
2019,111194,364761,87597,370860,5359,90850,10136,5366,2299,226,14,323,3925,3101,52,3205,437,1169,922,183,15176,338,2263,714,806,619,84,1441,1525,637,61,19825,23,1759,646,5024,781,1852,2748,4369,11388,53,231,224,1762,62248,19841,10,8999,476,2348,1589,360,41641,53,111,714,0,416,151,511,49911,11083,9479,27656,30,2385,193,32,9060,734,497,4787,25,148,1378,1691,4848,8526,1350,554,13453,1579,51,5385,17253,15901,2021,1070,70,54495,1899,6640,6514,1760,4304,3822,21689,4503,4998,1533,7052,29,18479,1020,1201,881,850,319,2605,22,3495,511,750,42,99,75,213,2303,8,586,47,22,230,95,156052,21,1935,7,765,376,24,3721,77,98,10201,1274,21,844,3818,201,15888,1079,329,148,13921,14,1059,24,452,10049,45920,4700,940,287,2616,9822,1509,238,726,403,195,12,2514,1665,1532,139,6,1443,818,37,422,119,3752,3174,191,1227,3115,1689,2949,172,1018,595,5967,5801,1158,3142,5551,1546,256,3150,510,5713,330,56,2560,11762,1586,11337,262,1109,2550,15720,39712,58,3717,511,758
2020,76649,272597,68994,222272,3998,62219,11407,3508,1581,181,11,190,2970,2145,22,2523,311,814,614,127,9272,226,1723,629,475,450,67,1091,976,477,43,16746,11,1118,465,4000,1099,995,1593,2842,9526,50,148,111,1520,41483,11989,4,7522,308,1658,1049,241,16367,31,105,454,69,405,84,287,30005,6157,6164,17907,27,1881,126,25,6280,425,317,4053,15,86,664,1179,3913,4627,945,307,7815,858,27,3027,9338,8277,1783,761,81,46363,1428,8805,2266,1466,3687,3184,12826,3905,3063,1307,4026,28,16244,678,768,594,486,224,2120,14,1674,514,475,20,64,84,197,1898,4,389,44,12,134,68,100325,15,1367,8,543,303,12,2866,60,90,7847,962,7,607,2570,139,12398,590,248,118,10474,8,601,19,256,5626,25491,3341,679,215,1994,7967,1084,106,463,196,154,4,1854,999,1077,149,4,713,807,21,343,76,2024,2733,117,1070,2620,1463,1867,117,835,592,3176,4759,523,2312,4177,1276,202,1718,463,4359,250,33,1802,9886,1251,9655,187,699,1347,12136,29995,29,5908,401,674