Month,Number
1999-10-01,94391
1999-11-01,78587
1999-12-01,73458
2000-01-01,188486
2000-02-01,213919
2000-03-01,223305
2000-04-01,182613
2000-05-01,169267
2000-06-01,117469
2000-07-01,116624
2000-08-01,117453
2000-09-01,100866
2000-10-01,85210
2000-11-01,70092
2000-12-01,57171
2001-01-01,127550
2001-02-01,154625
2001-03-01,172849
2001-04-01,145225
2001-05-01,125340
2001-06-01,91706
2001-07-01,86931
2001-08-01,88057
2001-09-01,61458
2001-10-01,39677
2001-11-01,34251
2001-12-01,33080
2002-01-01,81667
2002-02-01,97561
2002-03-01,129204
2002-04-01,124149
2002-05-01,99630
2002-06-01,80862
2002-07-01,79200
2002-08-01,85494
2002-09-01,70535
2002-10-01,64418
2002-11-01,49924
2002-12-01,39504
2003-01-01,89137
2003-02-01,98943
2003-03-01,100451
2003-04-01,77710
2003-05-01,91010
2003-06-01,77640
2003-07-01,81614
2003-08-01,86596
2003-09-01,74610
2003-10-01,67395
2003-11-01,59522
2003-12-01,45309
2004-01-01,94412
2004-02-01,112373
2004-03-01,156849
2004-04-01,137188
2004-05-01,120443
2004-06-01,96500
2004-07-01,93878
2004-08-01,95145
2004-09-01,81381
2004-10-01,77576
2004-11-01,66594
2004-12-01,49802
2005-01-01,94432
2005-02-01,115066
2005-03-01,144444
2005-04-01,141399
2005-05-01,117310
2005-06-01,92297
2005-07-01,96421
2005-08-01,98276
2005-09-01,95458
2005-10-01,84755
2005-11-01,72405
2005-12-01,54185
2006-01-01,102640
2006-02-01,126434
2006-03-01,161973
2006-04-01,127899
2006-05-01,107341
2006-06-01,69813
2006-07-01,61098
2006-08-01,61101
2006-09-01,59448
2006-10-01,62344
2006-11-01,52944
2006-12-01,41725
2007-01-01,73489
2007-02-01,80710
2007-03-01,115683
2007-04-01,105825
2007-05-01,89982
2007-06-01,73154
2007-07-01,68366
2007-08-01,61289
2007-09-01,51193
2007-10-01,53179
2007-11-01,43985
2007-12-01,33376
2008-01-01,60750
2008-02-01,74910
2008-03-01,91523
2008-04-01,93269
2008-05-01,70582
2008-06-01,55551
2008-07-01,50795
2008-08-01,49917
2008-09-01,45988
2008-10-01,44438
2008-11-01,33954
2008-12-01,27121
2009-01-01,45656
2009-02-01,50428
2009-03-01,68740
2009-04-01,59771
2009-05-01,52078
2009-06-01,47254
2009-07-01,45102
2009-08-01,44851
2009-09-01,36648
2009-10-01,42295
2009-11-01,34123
2009-12-01,26184
2010-01-01,35830
2010-02-01,44048
2010-03-01,62815
2010-04-01,56618
2010-05-01,48399
2010-06-01,34221
2010-07-01,26830
2010-08-01,27943
2010-09-01,24076
2010-10-01,27535
2010-11-01,23553
2010-12-01,20349
2011-01-01,25045
2011-02-01,29778
2011-03-01,43246
2011-04-01,37183
2011-05-01,32207
2011-06-01,28097
2011-07-01,24162
2011-08-01,25264
2011-09-01,23833
2011-10-01,26397
2011-11-01,24182
2011-12-01,19520
2012-01-01,26319
2012-02-01,32152
2012-03-01,42823
2012-04-01,41218
2012-05-01,37596
2012-06-01,31310
2012-07-01,27724
2012-08-01,28176
2012-09-01,27351
2012-10-01,29577
2012-11-01,28133
2012-12-01,23680
2013-01-01,27317
2013-02-01,35504
2013-03-01,47838
2013-04-01,48697
2013-05-01,44248
2013-06-01,34953
2013-07-01,33884
2013-08-01,34482
2013-09-01,32476
2013-10-01,35915
2013-11-01,32432
2013-12-01,29979
2014-01-01,29233
2014-02-01,36933
2014-03-01,50168
2014-04-01,52061
2014-05-01,61357
2014-06-01,58613
2014-07-01,41350
2014-08-01,32099
2014-09-01,26511
2014-10-01,26993
2014-11-01,25135
2014-12-01,25585
2015-01-01,21954
2015-02-01,24751
2015-03-01,30178
2015-04-01,30117
2015-05-01,31930
2015-06-01,29807
2015-07-01,28936
2015-08-01,30900
2015-09-01,30831
2015-10-01,33266
2015-11-01,33304
2015-12-01,37602
2016-01-01,24170
2016-02-01,26512
2016-03-01,33940
2016-04-01,38738
2016-05-01,40972
2016-06-01,35000
2016-07-01,34424
2016-08-01,37703
2016-09-01,40185
2016-10-01,46684
2016-11-01,47681
2016-12-01,43854
2017-01-01,32109
2017-02-01,19330
2017-03-01,12750
2017-04-01,11677
2017-05-01,15172
2017-06-01,16654
2017-07-01,18782
2017-08-01,22932
2017-09-01,22906
2017-10-01,26039
2017-11-01,29627
2017-12-01,29419
2018-01-01,26636
2018-02-01,27222
2018-03-01,38075
2018-04-01,38862
2018-05-01,40963
2018-06-01,34883
2018-07-01,32011
2018-08-01,38233
2018-09-01,42172
2018-10-01,51801
2018-11-01,52419
2018-12-01,51320
2019-01-01,48582
2019-02-01,67422
2019-03-01,93593
2019-04-01,99947
2019-05-01,133541
2019-06-01,95576
2019-07-01,72652
2019-08-01,51479
2019-09-01,41169
2019-10-01,36040
2019-11-01,34111
2019-12-01,33371
2020-01-01,29803
2020-02-01,30615
2020-03-01,30767
2020-04-01,16221
2020-05-01,21727
2020-06-01,31038
2020-07-01,38805
2020-08-01,47526
2020-09-01,55012