Year,Africa,Asia,Europe,North_America,Oceania,South_America,Afghanistan,Albania,Algeria,American_Samoa,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia_and_Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina_Faso,Burma,Burundi,Cabo_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Congo_Democratic_Republic,Congo_Republic,Costa_Rica,Cote_d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Czechoslovakia_former,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong_Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,North_Korea,South_Korea,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,Netherlands_Antilles_former,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,Samoa,Saudi_Arabia,Senegal,Serbia,Serbia_and_Montenegro_former,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Sudan,Soviet_Union_former,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_States,Uruguay,Uzbekistan,Venezuela,Vietnam,Virgin_Islands,Yemen,Zambia,Zimbabwe
2011,69738,249940,82209,217750,3734,70485,1998,4267,773,205,162,38,386,3870,3965,40,1291,271,1153,609,80,7325,648,1814,525,742,183,58,55,1446,4259,9,10251,11,3103,163,2321,168,974,4589,2172,9318,15,34,50,1527,32864,22693,908,345,1511,694,569,21071,0,115,485,310,124,22,594,20508,6929,5848,13834,9,985,217,15,8519,1118,344,2527,14,53,505,1253,4461,4690,844,528,7285,575,29,5413,14191,3980,2184,953,76,45985,2345,9286,3360,1171,3153,2231,14591,1744,2345,891,3621,13,12664,465,869,440,5452,401,3127,11,3794,180,973,18,86,44,86,1137,274,54,32,405,64,94783,74,1398,242,205,63,3656,49,29,2235,778,60,480,5092,124,9344,578,90,37,10655,68,1340,17,289,10266,42520,8844,1426,101,4314,8257,265,306,600,416,172,814,752,85,2185,19,1831,311,0,421,57,7971,2566,0,2812,1253,1334,2444,194,872,427,1981,5065,155,516,5299,1523,251,5014,377,3100,146,36,838,8489,425,9246,45,751,2463,6856,20922,48,1320,337,715
2012,74775,257035,82714,261673,3886,76992,1758,3615,891,180,166,30,390,3909,3285,27,1312,241,958,647,93,8417,687,1896,522,817,210,65,42,2063,4904,11,9884,17,2964,166,2384,209,1037,6189,2459,9077,29,56,69,1586,31868,23972,1173,381,1597,868,725,31244,0,92,477,291,133,26,597,33351,8783,6191,16685,19,1059,234,10,8803,1134,329,2358,15,80,556,1271,4192,5344,867,683,8797,787,30,6201,19114,5294,1980,1014,97,42928,2123,9627,3523,1239,2859,2234,15531,1663,2436,1040,4170,19,13790,510,820,420,7027,392,2914,7,4322,195,938,23,106,37,85,1150,288,44,21,495,57,102181,73,1602,286,227,51,3872,48,42,2448,919,76,563,5870,143,9322,635,87,48,11150,72,1532,16,338,11814,44958,8715,1607,101,4253,8154,285,319,724,511,178,779,790,109,2012,8,1861,293,0,401,64,9286,2294,81,2610,1242,1146,2291,189,798,427,1814,4573,142,543,6585,1448,306,5596,345,3329,136,49,820,9459,431,9145,60,849,3071,7404,23490,41,1452,338,691
2013,71872,275700,80333,271807,3849,76167,2074,3538,841,265,143,26,366,4177,3203,42,1296,248,786,681,76,9571,683,1797,513,966,206,59,275,1961,3662,29,9565,11,2646,230,3489,379,1014,4161,2541,8690,17,54,64,1649,35387,22196,1250,402,1661,958,561,30482,0,112,562,232,127,39,642,39590,9470,6213,18401,14,1145,213,15,8323,1003,300,2534,8,72,573,1205,4066,5105,938,717,9530,958,24,6295,23480,5462,2093,984,75,49897,2190,11623,7771,1295,3466,2355,16442,1837,2816,909,4257,27,15786,487,920,395,3932,364,3002,10,3923,206,933,16,97,50,83,1169,332,59,17,520,67,99385,96,1594,347,231,65,3768,51,40,2711,786,82,482,5064,167,9545,665,80,39,12948,64,1598,20,331,11782,43489,8697,1585,107,4050,8222,374,315,856,574,206,927,869,117,1830,15,1613,263,0,413,58,6875,2283,139,2807,1367,1258,1924,160,783,452,2196,5255,168,647,5544,1380,371,5784,362,3390,160,47,763,8624,499,9459,55,933,2482,7648,24277,45,1355,352,658
2014,62175,233163,71325,222547,3399,60665,1853,3131,928,187,145,18,358,3683,2488,28,1159,223,585,545,90,7475,550,1437,408,773,229,67,2639,1527,2509,24,8625,15,2226,235,4225,415,979,2866,2120,8385,13,44,74,1435,30284,16478,1246,438,1461,910,428,24092,11,112,565,303,129,26,520,23775,6952,5094,15598,12,1045,183,7,7002,770,274,2589,20,63,510,898,4375,5108,780,544,8549,908,27,4327,13676,4433,1801,891,70,37854,1568,9620,12377,1413,3015,2313,13547,1635,2427,789,3885,24,13587,392,791,305,2564,366,2528,8,3035,228,744,34,102,50,76,1052,352,40,20,376,69,94889,62,1279,335,202,47,3538,34,31,2888,665,43,453,3775,161,8667,625,92,41,11210,50,1277,7,256,9572,34591,8304,1587,69,3267,6824,302,270,635,405,181,795,806,276,1338,9,1406,258,7,317,52,4097,2083,132,2334,1326,1104,1482,127,724,388,1832,4326,146,525,4805,1141,473,4147,310,2925,110,26,724,6984,435,8906,31,812,1725,6871,18837,49,1160,318,734
2015,71492,261374,78074,247492,3811,67927,1589,3237,943,296,132,31,381,3886,2874,37,1379,207,568,570,79,9750,646,1710,505,851,310,66,4562,1689,3304,28,10516,13,2336,307,6045,437,1054,2878,3170,9492,30,52,84,1486,31241,17207,1490,473,1633,1078,563,25770,17,107,733,371,243,26,653,26665,7664,5693,16930,14,1494,208,12,8312,850,301,2784,14,89,685,1027,4380,6033,867,664,9344,999,29,5162,14053,5039,1716,941,88,42213,1743,10344,14899,1375,3182,2760,16566,1858,2461,819,4738,23,14230,547,819,418,2042,392,2463,11,3042,193,752,20,109,65,91,1113,405,50,22,355,60,105958,85,1681,324,209,43,3805,43,42,4225,778,35,514,3951,180,10363,611,80,47,11912,44,1412,21,338,10701,40815,7886,1690,75,3478,6552,300,360,775,467,213,796,974,522,1297,7,1692,285,17,443,61,3691,2538,131,2372,1414,1246,1740,183,885,411,2004,4420,156,553,5213,1171,352,4869,314,3150,153,33,817,8926,443,10095,75,902,1660,8192,21976,59,1284,370,852
2016,72338,271733,74344,259845,3953,70821,1444,2813,1035,285,131,16,383,4015,2516,28,1389,221,574,590,80,9949,651,1518,514,870,317,61,5563,1862,2257,29,10268,10,2086,322,6956,406,1207,2756,3088,9346,20,80,105,1666,35794,18601,1707,395,1862,1127,438,32101,13,105,692,344,1193,52,610,31320,8568,5696,17213,18,1797,183,8,8725,996,303,2841,18,83,724,988,4329,6411,1013,658,9764,1077,20,5284,15276,5819,1662,934,88,46188,1641,9507,12130,1383,3071,2692,16772,1758,2552,760,4834,16,14347,530,790,408,1999,356,2284,9,3022,210,626,18,101,75,95,1189,456,43,27,323,63,103550,67,1689,437,222,45,3684,51,33,5004,829,45,565,4663,140,9520,704,93,58,11729,43,1458,19,396,11319,41285,7198,1665,98,3379,6067,369,345,791,500,192,869,969,532,1164,17,1662,308,33,428,63,3998,2197,101,2268,1515,1497,1776,164,795,375,2043,4043,212,639,5211,1099,337,4867,352,3201,102,31,823,8374,473,9562,95,1044,1685,7633,24848,46,1490,404,843
2017,61851,255306,65141,258371,3327,63063,1414,2169,949,216,125,20,311,3486,1994,32,1235,177,483,481,77,8629,645,1313,493,810,309,65,5557,1806,1780,27,9701,11,1887,303,6825,266,1355,2184,2416,7829,23,61,78,1620,37674,16184,1437,322,1720,907,351,25961,16,84,595,251,769,48,539,29734,7748,5154,16941,8,1424,157,16,7370,841,279,2812,14,67,586,889,3879,5777,945,629,9131,957,25,4527,12794,5310,1623,729,83,50802,1566,8324,7875,1405,2466,2501,15087,1713,2239,729,4348,15,14643,410,677,412,1726,306,2081,8,2421,207,584,14,70,61,84,1170,391,47,16,288,65,118559,53,1442,416,187,45,2943,38,27,4509,699,42,468,4181,126,7652,582,60,30,10166,32,1266,13,343,10014,36828,5840,1807,95,2986,5534,267,317,697,507,164,872,882,476,820,5,1328,279,21,384,52,3774,1901,74,2123,1469,1364,1348,143,708,333,1789,4151,222,547,4672,907,262,4504,344,3108,109,26,742,6644,475,9049,84,1028,1498,6463,19323,42,1445,401,675
2018,64934,275621,71436,277592,3792,67892,1569,2203,918,182,147,34,356,3977,2085,33,1545,238,512,590,86,7797,555,1393,520,859,249,70,6180,1575,1805,38,10538,15,1825,347,7858,284,1429,2467,2319,9379,23,73,72,1752,39600,17564,1776,316,1860,908,371,32089,20,125,644,260,650,65,612,22970,7996,6549,17300,9,1457,190,13,6769,875,283,2854,13,81,650,751,4284,6047,1074,463,9566,924,28,4625,14389,5645,1768,922,69,52194,1807,8409,12448,1621,2743,2920,17213,1869,2630,823,4302,30,16031,451,789,483,2027,315,2339,9,2752,308,699,20,79,53,114,1388,398,51,21,252,70,131977,34,1680,468,205,52,2644,43,29,5352,851,48,577,4277,110,8459,669,93,44,10414,28,1308,17,401,10043,38816,6370,2031,92,3104,6225,343,281,604,401,168,990,848,596,805,11,1177,332,22,394,57,3979,2262,109,2252,1674,1480,1611,176,797,436,2475,4576,261,561,5324,893,319,4378,306,3275,117,40,703,6990,542,10530,122,1073,1532,8172,21082,54,1544,402,709
2019,84990,327273,81040,276910,4308,68678,2794,2778,1235,279,136,25,386,3956,2327,54,1838,214,597,640,116,9067,625,1730,575,950,343,64,6920,1679,1709,41,10451,26,2251,426,11674,394,1316,2877,3197,11059,35,120,90,1784,39490,17126,2877,351,1859,1206,412,36246,30,115,600,325,656,96,740,23101,7731,8311,18260,15,1951,210,25,9065,778,343,3315,18,113,729,973,4745,6936,1137,640,8948,1069,23,5089,14308,6353,1924,983,101,64631,2093,11310,18366,1698,3265,3244,18010,1969,3430,1147,5329,25,16298,597,1111,534,2303,365,2683,18,3334,447,885,23,92,63,120,1406,446,49,15,319,67,122286,39,2010,541,254,50,3142,63,61,7409,953,56,668,4346,143,11360,800,111,68,13079,32,1361,19,387,9899,43668,6973,1712,105,3627,7628,466,335,758,528,239,1313,956,829,820,0,1604,359,0,432,68,6915,2967,146,2280,1945,1609,2527,170,936,488,3364,4821,364,731,6678,1054,354,4592,393,3289,203,28,922,8019,730,12195,174,1088,1950,9317,25646,59,2509,501,810
2020,66436,246099,57403,204250,3392,50441,4025,2308,1063,177,94,19,265,2884,1852,37,1436,160,451,481,79,6883,399,1302,430,669,297,52,4536,1208,1059,34,8323,19,1656,376,9181,280,930,2405,2873,8423,20,82,56,1329,26110,12768,2482,191,1394,1012,271,31369,28,81,426,206,508,94,391,18675,5204,6336,12606,18,1597,157,0,7385,624,250,2553,15,87,610,709,3162,4973,828,478,6421,771,20,3631,10865,5150,1545,754,69,48109,1359,8828,12321,1179,2363,2324,13465,1584,2607,803,4186,17,11350,482,840,411,1704,241,1715,7,2429,309,529,20,61,47,91,942,390,37,13,188,55,84081,26,1494,426,162,37,2462,32,39,5793,667,48,577,3474,112,8929,577,270,66,9975,23,989,20,278,6910,33417,4653,1081,120,2320,5360,410,211,574,363,159,998,742,569,494,13,1319,255,0,275,68,5684,2084,101,1589,1517,1140,1753,91,731,365,2455,3422,251,530,5572,927,300,3027,295,2305,122,28,727,5444,545,8842,163,822,1482,6993,22705,45,2158,340,559